#{"t_start": 1782413128.1205232, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
589.852772,1000,3284.983912
544.534518,1000,3289.272524
638.206754,1000,3293.552293
607.281799,1000,3297.846529
543.8103,1000,3302.147325
617.80443,1000,3306.43891
595.69491,1000,3310.790434
595.46607,1000,3315.492594
604.425834,1000,3319.7061
557.126318,1000,3324.126898
587.172115,1000,3329.142737
549.781427,1000,3334.159827
562.556634,1000,3339.224348
542.597604,1000,3344.283803
576.802173,1000,3349.284452
615.248006,1000,3354.317868
608.392924,1000,3358.617747
622.49756,1000,3362.932659
600.834428,1000,3367.335903
612.033189,1000,3371.583341
553.017921,1000,3375.837102
592.813888,1000,3380.100063
603.795199,1000,3384.38084
576.362656,1000,3388.663273
564.599327,1000,3393.211943
554.117594,1000,3397.479131
602.690368,1000,3401.796287
613.322361,1000,3406.075939
592.803916,1000,3410.349231
597.036705,1000,3414.830754
585.196132,1000,3419.132102
608.418877,1000,3423.811726
587.643022,1000,3428.237523
563.662281,1000,3432.486269
610.565285,1000,3436.842529
561.919064,1000,3441.109392
588.11968,1000,3445.36942
577.395777,1000,3449.683615
608.904839,1000,3453.97844
571.304761,1000,3458.312808
627.198023,1000,3463.189452
564.689392,1000,3468.232849
619.4572,1000,3473.337178
613.066692,1000,3478.330519
616.007394,1000,3483.345948
537.731237,1000,3488.361464
605.62748,1000,3493.410865
608.137823,1000,3498.450367
617.335565,1000,3503.451813
602.952593,1000,3508.481801
590.411818,1000,3513.650745
567.523221,1000,3518.20848
605.039334,1000,3522.923126
547.296648,1000,3527.964066
544.118217,1000,3532.858936
608.12852,1000,3537.867337
556.92542,1000,3542.868456
610.278258,1000,3547.817295
588.794405,1000,3552.818916
618.288376,1000,3557.833601
597.381065,1000,3562.813816
584.226696,1000,3567.759772
535.206357,1000,3572.764374
571.55116,1000,3577.76035
543.258072,1000,3582.626022
519.381679,1000,3586.808927
533.639128,1000,3591.102346
555.842279,1000,3595.343759
561.946625,1000,3599.586911
521.146534,1000,3604.171
604.001434,1000,3609.17749
559.292531,1000,3614.180542
557.541965,1000,3619.169484
598.827501,1000,3624.214498
606.230581,1000,3629.234628
573.489419,1000,3634.2384
624.121833,1000,3639.222175
581.299643,1000,3643.406618
624.321081,1000,3647.62183
570.295871,1000,3651.846088
584.399949,1000,3656.065562
600.191758,1000,3660.306608
603.515979,1000,3664.561882
610.520666,1000,3668.819557
616.09293,1000,3673.053127
572.547915,1000,3677.333751
552.302242,1000,3681.613112
623.848591,1000,3685.877496
620.202166,1000,3690.15217
551.262569,1000,3694.404317
594.420027,1000,3698.65487
619.806274,1000,3702.925256
558.730197,1000,3707.216657
633.216113,1000,3711.48131
578.089028,1000,3715.763587
620.020415,1000,3720.018666
556.132951,1000,3724.271529
580.374541,1000,3728.574298
621.709026,1000,3732.820165
633.143968,1000,3737.069688
621.274147,1000,3741.309838
622.548476,1000,3745.588447
622.487592,1000,3749.848262
637.95191,1000,3754.112763
624.369341,1000,3758.393598
548.715853,1000,3762.646208
615.082516,1000,3766.91792
577.297538,1000,3771.187484
616.063263,1000,3775.660908
604.748561,1000,3779.954648
605.616752,1000,3784.417375
550.492816,1000,3788.907826
554.428853,1000,3793.725901
600.212627,1000,3798.768813
586.220959,1000,3803.758756
585.147861,1000,3808.775998
550.384342,1000,3813.798776
629.589498,1000,3818.735063
625.028623,1000,3822.976431
576.902047,1000,3827.223318
609.259691,1000,3831.5634
613.391407,1000,3835.81612
605.022668,1000,3840.089236
629.129761,1000,3844.38181
605.243066,1000,3848.661033
